cpf;rg;email;dt_nasc;sexo;nome;salario
27295236856;54.037.661-5;estermoro@gmail.com;06/01/1952;Feminino;Yuri Matheus Antonia;5942.00
96114282434;44.446.496-3;danielpreta@gmail.com;26/07/1965;Masculino;Lourenço Francisco Borges;7011.00
74728517608;69.479.445-1;ricardomonteiro@gmail.com;12/04/1954;Feminino;Pedro Otávio Strabelli;9835.00
54050113805;82.685.753-3;karenrocha@gmail.com;04/03/1978;Masculino;Afonso Bernardo de Matos;9221.00
12752012888;98.719.806-1;afonsofagundes@gmail.com;09/10/1972;Masculino;Gabriel Ramom Zanol;4228.00
02266456814;36.163.643-6;sabrinanicolini@gmail.com;16/08/1939;Feminino;Manuela Maria Colombi;5554.00
70009764623;54.484.679-0;biancaalberto@gmail.com;10/12/1967;Feminino;Victor Caio Riatto;8597.00
15806152014;72.762.506-4;anapeppelenbos@gmail.com;30/04/1945;Feminino;Marina Nicole Marini;7366.00
02968359436;80.564.465-3;nicolepires@gmail.com;11/02/1941;Masculino;Eduardo Martim Ronqueti;7194.00
36361616282;49.372.111-4;pedroarrivabene@gmail.com;17/03/1984;Feminino;Eduardo Bruno Marett;9271.00
47591520750;07.259.608-3;rafaelcurcio@gmail.com;05/05/1940;Masculino;Martim Nicolas Bossoli;5706.00
57989216973;04.629.374-8;caiomazzoco@gmail.com;06/08/1975;Masculino;Bryan Bryan Zacchi;5540.00
04429116709;85.209.315-0;rafaeladalto@gmail.com;10/04/1951;Masculino;Ana Manuela de Martin;2942.00
08776310930;81.388.898-2;antniocaretta@gmail.com;31/08/1962;Masculino;Helena Natália Marchese;4416.00
09479476479;47.757.765-5;rafaelamaroto@gmail.com;30/08/1982;Feminino;Alexandre Rodrigo di Boscarato;9456.00
04801697135;03.993.428-4;luisdepierro@gmail.com;21/01/1970;Feminino;Laila Lara Mariotto;9281.00
05924504220;66.825.826-6;renatofigueira@gmail.com;05/06/1923;Feminino;Julia Rebeca Cavatti;1594.00
